,MedHouseVal
0,3.659
1,1.563
2,2.165
3,2.427
4,2.221
5,1.818
6,2.171
7,2.157
8,0.949
9,0.875
10,1.958
11,2.083
12,0.846
13,2.748
14,1.903
15,1.915
16,1.783
17,2.738
18,0.825
19,3.56
20,2.5
21,3.088
22,2.373
23,4.676
24,5.00001
25,2.479
26,2.186
27,2.65
28,1.919
29,2.58
30,1.813
31,0.861
32,1.975
33,2.939
34,1.837
35,2.26
36,2.0
37,2.846
38,3.766
39,2.044
40,1.53
41,3.316
42,1.547
43,1.625
44,5.00001
45,4.0
46,3.256
47,0.506
48,1.621
49,0.788
50,0.772
51,5.00001
52,1.363
53,1.59
54,0.513
55,2.139
56,1.671
57,3.355
58,2.775
59,0.975
60,5.00001
61,1.7
62,5.00001
63,0.751
64,1.0
65,2.39
66,0.842
67,1.931
68,1.565
69,3.254
70,1.458
71,1.601
72,1.188
73,3.25
74,0.896
75,1.786
76,1.943
77,1.867
78,1.794
79,1.849
80,1.838
81,1.667
82,1.508
83,2.718
84,3.114
85,1.951
86,2.726
87,1.674
88,3.683
89,3.49
90,1.125
91,5.00001
92,1.563
93,2.438
94,1.125
95,2.445
96,1.086
97,2.684
98,1.875
99,5.00001
100,0.778
101,2.213
102,4.043
103,2.037
104,1.113
105,1.993
106,1.333
107,1.986
108,0.485
109,1.673
110,4.05
111,2.15
112,1.1
113,1.92
114,1.705
115,2.15
116,0.75
117,0.831
118,1.734
119,5.00001
120,1.923
121,3.693
122,1.533
123,2.47
124,5.00001
125,3.521
126,2.817
127,1.841
128,2.619
129,1.595
130,1.1
131,3.28
132,1.304
133,0.792
134,1.224
135,2.065
136,4.421
137,1.189
138,1.496
139,1.227
140,0.55
141,3.471
142,1.875
143,1.188
144,1.086
145,3.8
146,2.188
147,3.847
148,1.896
149,1.089
150,1.792
151,1.36
152,0.677
153,4.105
154,1.478
155,3.521
156,4.514
157,1.011
158,1.732
159,1.375
160,2.01
161,1.661
162,3.591
163,3.13
164,1.745
165,1.323
166,0.706
167,1.538
168,3.558
169,0.958
170,1.678
171,0.958
172,2.514
173,2.488
174,3.462
175,1.138
176,2.603
177,5.00001
178,1.539
179,5.00001
180,5.00001
181,1.278
182,1.148
183,5.00001
184,0.989
185,1.342
186,0.908
187,0.661
188,1.115
189,0.704
190,4.357
191,1.885
192,0.889
193,1.217
194,1.453
195,2.151
196,1.143
197,2.979
198,0.55
199,2.324
200,2.33
201,1.738
202,2.9
203,1.299
204,4.833
205,3.804
206,0.875
207,5.00001
208,2.25
209,2.139
210,1.45
211,1.089
212,1.543
213,1.594
214,5.00001
215,1.663
216,0.875
217,1.944
218,2.171
219,3.447
220,0.579
221,4.026
222,2.018
223,5.0
224,1.625
225,1.177
226,1.194
227,2.554
228,2.527
229,0.435
230,4.385
231,1.81
232,2.65
233,4.239
234,2.629
235,1.857
236,0.675
237,1.895
238,0.927
239,2.629
240,4.208
241,1.741
242,2.221
243,1.975
244,1.58
245,3.308
246,1.66
247,2.346
248,1.963
249,1.008
250,1.656
251,1.143
252,1.257
253,3.36
254,2.667
255,0.535
256,2.745
257,1.059
258,1.718
259,5.00001
260,2.467
261,2.125
262,1.866
263,3.327
264,1.652
265,2.563
266,3.65
267,2.698
268,1.076
269,1.928
270,1.125
271,3.111
272,0.935
273,2.343
274,4.89
275,1.309
276,0.738
277,0.875
278,2.846
279,3.8
280,1.201
281,1.938
282,2.427
283,0.95
284,2.534
285,1.869
286,1.046
287,5.00001
288,0.811
289,2.319
290,3.197
291,1.557
292,2.833
293,1.456
294,2.502
295,0.621
296,5.00001
297,1.135
298,2.043
299,1.555
300,3.094
301,2.835
302,1.125
303,3.308
304,2.395
305,1.236
306,2.419
307,1.504
308,2.468
309,2.733
310,2.208
311,0.329
312,3.5
313,2.21
314,0.946
315,1.704
316,1.393
317,2.177
318,2.529
319,2.348
320,1.603
321,1.831
322,2.048
323,2.299
324,3.952
325,1.455
326,0.753
327,3.504
328,0.583
329,1.306
330,1.489
331,2.402
332,1.587
333,2.75
334,2.915
335,1.093
336,3.941
