id,name
3,"Pixar Animation Studios"
559,"TriStar Pictures"
2550,"Teitler Film"
10201,"Interscope Communications"
6194,"Warner Bros."
19464,"Lancaster Gate"
306,"Twentieth Century Fox Film Corporation"
5842,"Sandollar Productions"
9195,"Touchstone Pictures"
508,"Regency Enterprises"
675,"Forward Pass"
4,"Paramount Pictures"
258,"Scott Rudin Productions"
932,"Mirage Enterprises"
14941,"Constellation Entertainment"
55873,Worldwide
58079,"Mont Blanc Entertainment GmbH"
2,"Walt Disney Pictures"
33,"Universal Pictures"
21437,"Imperial Entertainment"
23770,"Signature Entertainment"
60,"United Artists"
7576,"Eon Productions"
5,"Columbia Pictures"
97,"Castle Rock Entertainment"
6368,"Enigma Pictures"
56,"Amblin Entertainment"
4105,Amblimation
915,"Hollywood Pictures"
1504,"Cinergi Pictures Entertainment"
183,"Le Studio Canal+"
415,"Laurence Mark Productions"
8411,"Metro-Goldwyn-Mayer (MGM)"
14723,"Carolco Pictures"
10898,"Légende Entreprises"
11583,"Syalis DA"
11584,"De Fina-Cappa"
441,"Columbia Pictures Corporation"
14,"Miramax Films"
59,"A Band Apart"
5682,"O Entertainment"
10210,"Morgan Creek Productions"
216,"Jersey Films"
10104,"New Regency Pictures"
1885,"Silver Pictures"
5358,Canal+
10308,"Dino De Laurentiis Company"
23397,"Donner/Shuler-Donner Productions"
25061,Evansgideon/Lazar
175,"Caravan Pictures"
15547,"Intial Productions"
12,"New Line Cinema"
288,"BBC Films"
311,Procirep
590,"Constellation Productions"
591,"France 3 Cinéma"
592,"Claudie Ossard Productions"
850,Eurimages
851,"MEDIA Programme of the European Union"
1871,"Cofimage 5"
6639,"Televisión Española (TVE)"
7237,"Tele München Fernseh Produktionsgesellschaft (TMG)"
8170,"Club d'Investissement Média"
9335,"Canal+ España"
12009,"Elías Querejeta Producciones Cinematográficas S.L."
18367,"Centre National de la Cinématographie (CNC)"
25020,"Victoires Productions"
25021,Constellation
25129,"Lumière Pictures"
47532,Canal+
68517,"Studio Image"
79437,"Cofimage 4"
79438,Ossane
79439,"Phoenix Images"
2588,"Ministère des Affaires Étrangères"
4507,"Alpha Films"
23647,"La Sept Cinéma"
10103,"Via Rosa Productions"
10288,"Don Simpson/Jerry Bruckheimer Films"
507,"Atlas Entertainment"
