movie_id,pc_id
21349,711
40952,12
52744,4
16620,441
16184,3158
42848,1483
10046,1992
43896,6
27099,18982
550,54050
2157,12
116844,38567
22913,4189
47886,4804
39462,882
47615,77318
14334,29273
6037,441
22048,9266
1627,53
12501,60
8852,33
657,60
907,8411
11121,82
9323,6999
71642,12725
11836,2348
24679,69934
856,56
36773,70
14108,2866
9320,2596
10351,285
33701,4765
36222,9222
13343,33
42994,11671
10218,8824
27007,58588
9360,441
18588,1444
26602,6194
275,10163
24518,8411
13441,30639
75888,16056
10880,665
3116,60
11082,10201
117262,54050
16295,1947
32558,1553
21386,15257
4836,5374
11718,1175
9208,456
12596,711
126117,26468
2111,943
11054,12
67307,441
52367,306
1073,22512
3040,1039
18841,61195
1492,10901
9103,38114
55372,1628
30690,6194
14873,3476
754,9195
16211,3468
9501,3322
42045,3268
120,11
17043,68063
31146,13190
9344,14
2055,335
1702,1625
21629,441
8831,33
11849,12
7453,2242
9839,11728
40095,1950
28963,13399
26355,559
36561,6431
811,23276
19123,13192
1677,2234
395,19828
48309,1212
10047,5
18446,6194
25624,1947
11069,3853
33731,17271
19931,915
21879,1382
348,19747
30363,1448
11244,8411
10158,306
266687,22329
11052,55914
9093,14
36355,38181
2528,5358
26813,95810
13819,58
398959,80481
14873,2
30950,11943
27277,8425
10461,6194
228,12372
95548,599
9647,4
9666,14644
12488,69984
6643,12315
16874,11840
55848,10621
16,53670
30159,6194
11943,6194
5544,841
12637,12252
166607,441
28356,1048
15177,3049
55107,6584
36561,16850
11082,559
39437,9195
47542,1728
10403,8
29743,4986
2259,13096
11937,6313
10573,21578
34276,8488
185987,45824
21733,3054
31005,41252
39844,16380
565,49325
24264,7585
39780,8724
9102,7958
30949,441
11574,76358
52794,1061
13154,6194
9781,90195
15559,3447
71754,40534
32646,38692
16448,58
11370,46195
2163,4
275,1382
52666,266
2116,333
2054,10201
125952,5358
13550,14723
8831,2982
40072,62287
22178,60
24395,8411
565,27
27092,357
29794,84526
31246,20877
2185,9195
10775,5552
112961,68155
42164,7984
865,6068
10943,247
11475,2303
2165,996
9602,4
31767,18436
15370,10342
5183,8411
16347,6194
113,685
41968,9210
11975,14941
14603,19738
42566,22051
41007,36995
13201,60
31439,25299
14317,24955
221917,97
9054,175
27029,6194
22345,4078
11533,441
14273,15486
1277,680
8922,60
1499,12
23685,436
47434,15671
9509,508
44340,1360
129,10342
10305,15671
9423,7237
13416,13
31459,53870
9450,181
35119,6194
6644,4
539,10717
1480,10330
57976,843
77936,16366
45203,5227
12779,57736
42094,5
988,630
11247,6194
11197,6783
13704,306
314,52946
28421,33
3133,1461
11281,33
18885,559
163,12202
24,59
38987,42050
15647,84889
808,27
28971,11945
22201,87385
18079,4718
36489,22384
105,20448
53151,65561
17343,4785
1487,552
46625,8411
42130,44400
10350,89309
61391,11276
11904,56
1391,1102
54933,11054
59930,9195
37498,10828
9905,980
18919,18367
43806,4361
11308,25580
23592,18621
16992,2307
8854,6194
24747,11145
20304,91637
28172,4756
29471,28762
42879,4
2786,1216
6970,8724
2055,18619
47943,744
31598,559
38749,306
10956,5
10985,51753
979,19233
37744,4946
2165,35
935,88
492,279
2017,16850
4032,5
1946,807
18992,306
31511,6194
8961,10288
16672,3212
64900,16804
36266,21331
404,635
13794,19130
4108,6896
34941,2499
608,56
31586,97
47504,8
1369,14723
47588,40424
948,14323
4339,10869
39504,36252
2084,932
77908,1309
124626,93174
9890,2609
8835,2527
10466,33
11229,2499
86093,1176
16110,37618
49096,6116
309,3221
48035,9079
590,4
64334,83
45325,2
70443,16804
1613,1218
73134,47033
24998,8798
3133,11535
4339,4606
15927,6752
4816,59348
10551,559
19507,5
54140,21505
46498,11929
14398,41
2262,1627
41806,750
65046,11840
37498,21848
18498,1212
36222,3214
10723,33
2289,10102
50541,441
8737,2532
18,5
30707,6194
39775,89510
44695,14149
9667,846
124304,37353
25208,10146
19014,4
128,12516
126881,328
4551,216
33689,6130
63076,7025
187,53009
41878,16366
17795,16774
21259,56520
47907,97
29512,5870
20213,51816
27225,1176
18538,3503
2614,4357
11293,4
26827,4357
19803,14
3780,882
56188,441
77079,2185
50467,90899
46976,3644
41020,3245
35188,5533
2501,7385
147729,22285
18727,306
39948,8628
49397,96028
13553,2766
73247,33
18072,3444
22112,13
25495,441
89591,4474
50785,25807
1996,14362
40815,5358
378,306
47144,36746
9406,10895
10054,10807
42035,11561
10647,788
11418,6194
42622,4051
26774,4579
111367,4491
10163,5570
11599,6505
33575,8411
24348,78455
57953,17027
10157,7965
661,11626
10472,14
22328,3166
439,221
33994,1591
10329,4
30970,4606
44793,20169
25598,8411
8583,508
8193,4
77771,72472
21311,5
38618,4792
57976,4606
2118,2428
2140,73954
29239,33
4233,85
1360,14
132641,882
4480,82
9062,4
23114,1553
2900,1757
55086,6194
5991,12372
653,1960
28605,1212
18587,10720
9350,5358
553,11239
47474,544
935,441
8978,20449
30197,1296
5955,1171
12610,6194
39874,4
979,856
36786,3754
2755,1565
1777,225
27681,3213
